model,type,training_samples,precision,recall,f1_score,roc_auc,tp,tn,fp,fn
Isolation Forest,Unsupervised,9571,0.30414746543778803,0.5038167938931297,0.3793103448275862,0.9416411060630522,66,3821,151,65
Random Forest,Supervised,9571,0.9008264462809917,0.8320610687022901,0.8650793650793651,0.9897853678036331,109,3960,12,22
