model,Precision,Recall,F1-Score,ROC-AUC,FPR,FNR
Statistical Threshold (mean+2σ),0.47950819672131145,0.8931297709923665,0.624,0.9754041650330942,0.031973816717019134,0.10687022900763359
Isolation Forest (unsupervised),0.30414746543778803,0.5038167938931297,0.3793103448275862,0.9416411060630522,0.038016112789526685,0.4961832061068702
Random Forest (supervised),0.9008264462809917,0.8320610687022901,0.8650793650793651,0.9897853678036331,0.0030211480362537764,0.16793893129770993
