model,model_size_kb,inference_mean_ms,inference_std_ms,inference_p99_ms,peak_memory_kb
Isolation Forest,488.2,6.5801,0.108,6.9945,15.5
Random Forest,945.3,40.868,13.0924,77.2132,95.1
