metric,baseline_mean,baseline_std,attack_mean,attack_std,unit
cpu_usage,0.7542378002719444,8.602125213311043,2.0495412844036696,14.117309135269819,%
ram_usage,826.2173232951541,5.416848266480944,826.0,0.0,MiB
inference_latency,6.946774694588719,4.064302083851802,6.353712137660371,2.6305335212504035,ms
