frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
32,0.699241906,10.11.12.17,10.11.12.1,TCP,66,34758 → 80 [FIN, ACK] Seq=923 Ack=162 Win=64128 Len=0 TSval=1513314814 TSecr=1001356559
33,0.699305462,10.11.12.1,10.11.12.17,TCP,66,80 → 34758 [ACK] Seq=162 Ack=924 Win=64256 Len=0 TSval=1001356563 TSecr=1513314814
34,0.726245344,10.11.12.18,10.11.12.1,TCP,60,32566 → 22 [ACK] Seq=1 Ack=45 Win=512 Len=0
35,0.767543641,10.11.12.22,1.1.1.1,TCP,60,38890 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
36,0.836721267,10.11.12.51,10.11.12.1,TCP,74,43360 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1031990883 TSecr=0 WS=128
37,0.836856434,10.11.12.1,10.11.12.51,TCP,74,80 → 43360 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2993696970 TSecr=1031990883 WS=128
38,0.838555234,10.11.12.51,10.11.12.1,TCP,66,43360 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1031990885 TSecr=2993696970
39,0.838928623,10.11.12.51,10.11.12.1,HTTP,989,GET /5/1666184689.7392032/%7B%22NoiseL%22:%2061.34571340321093,%20%22NoiseM%22:%2034.041301807456314,%20%22NoiseH%22:%2020.23582730520882,%20%22NoiseA%22:%2019.27047375264601,%20%22Lux%22:%20193.67905,%20%22Prox%22:%200,%20%22Temp%22:%2025.918671883063674,%20%22Humidity%22:%2022.71881519481352,%20%22Pressure%22:%201010.5204195199353,%20%22MassPM1.0%22:%20%222.0826148986816406%22,%20%22MassPM2.5%22:%20%224.55599308013916%22,%20%22MassPM4.0%22:%20%226.470392227172852%22,%20%22MassPM10%22:%20%227.430722236633301%22,%20%22NumPM0.5%22:%20%227.57308292388916%22,%20%22NumPM1.0%22:%20%2213.689301490783691%22,%20%22NumPM2.5%22:%20%2216.09745216369629%22,%20%22NumPM4.0%22:%20%2216.611055374145508%22,%20%22NumPM10%22:%20%2216.734485626220703%22,%20%22TPM%22:%20%220.9549999833106995%22%7D HTTP/1.1 
40,0.838994994,10.11.12.1,10.11.12.51,TCP,66,80 → 43360 [ACK] Seq=1 Ack=924 Win=64256 Len=0 TSval=2993696973 TSecr=1031990885
41,0.844636504,10.11.12.1,10.11.12.51,TCP,83,HTTP/1.0 200 OK  [TCP segment of a reassembled PDU]
42,0.845288172,10.11.12.1,10.11.12.51,HTTP,209,HTTP/1.0 200 OK  (text/html)
43,0.846719675,10.11.12.51,10.11.12.1,TCP,66,43360 → 80 [ACK] Seq=924 Ack=18 Win=64256 Len=0 TSval=1031990893 TSecr=2993696978
44,0.847213509,10.11.12.51,10.11.12.1,TCP,66,43360 → 80 [FIN, ACK] Seq=924 Ack=162 Win=64128 Len=0 TSval=1031990894 TSecr=2993696979
45,0.847274750,10.11.12.1,10.11.12.51,TCP,66,80 → 43360 [ACK] Seq=162 Ack=925 Win=64256 Len=0 TSval=2993696981 TSecr=1031990894
46,0.859506235,10.11.12.23,18.205.142.205,TLSv1.2,99,Application Data
47,0.862204740,18.205.142.205,10.11.12.23,TCP,66,443 → 43352 [ACK] Seq=1 Ack=34 Win=165 Len=0 TSval=197278015 TSecr=18765577
48,0.894613521,10.11.12.50,10.11.12.1,TCP,74,49618 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=216535002 TSecr=0 WS=128
49,0.894734762,10.11.12.1,10.11.12.50,TCP,74,80 → 49618 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1712180522 TSecr=216535002 WS=128
50,0.896049375,10.11.12.50,10.11.12.1,TCP,66,49618 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=216535004 TSecr=1712180522
51,0.896355450,10.11.12.50,10.11.12.1,HTTP,987,GET /4/1666184689.8141282/%7B%22NoiseL%22:%2055.52607829609656,%20%22NoiseM%22:%2033.55411153444235,%20%22NoiseH%22:%2032.6587851461992,%20%22NoiseA%22:%2020.289829162789683,%20%22Lux%22:%2015.10405,%20%22Prox%22:%200,%20%22Temp%22:%2019.693188881535377,%20%22Humidity%22:%2027.91822892722159,%20%22Pressure%22:%201010.4032082161486,%20%22MassPM1.0%22:%20%222.0826148986816406%22,%20%22MassPM2.5%22:%20%224.55599308013916%22,%20%22MassPM4.0%22:%20%226.470392227172852%22,%20%22MassPM10%22:%20%227.430722236633301%22,%20%22NumPM0.5%22:%20%227.57308292388916%22,%20%22NumPM1.0%22:%20%2213.689301490783691%22,%20%22NumPM2.5%22:%20%2216.09745216369629%22,%20%22NumPM4.0%22:%20%2216.611055374145508%22,%20%22NumPM10%22:%20%2216.734485626220703%22,%20%22TPM%22:%20%220.9549999833106995%22%7D HTTP/1.1 
52,0.896413395,10.11.12.1,10.11.12.50,TCP,66,80 → 49618 [ACK] Seq=1 Ack=922 Win=64256 Len=0 TSval=1712180524 TSecr=216535004
53,0.902241627,10.11.12.1,10.11.12.50,TCP,83,HTTP/1.0 200 OK  [TCP segment of a reassembled PDU]
54,0.902760388,10.11.12.1,10.11.12.50,HTTP,209,HTTP/1.0 200 OK  (text/html)
55,0.904929577,10.11.12.50,10.11.12.1,TCP,66,49618 → 80 [ACK] Seq=922 Ack=18 Win=64256 Len=0 TSval=216535012 TSecr=1712180530
56,0.906606802,10.11.12.50,10.11.12.1,TCP,66,49618 → 80 [FIN, ACK] Seq=922 Ack=162 Win=64128 Len=0 TSval=216535014 TSecr=1712180530
