frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
147,2.292933198,10.11.12.18,10.11.12.1,TCP,60,32566 → 22 [ACK] Seq=1 Ack=177 Win=512 Len=0
148,2.294003607,10.11.12.22,3.11.193.37,SSL,239,Continuation Data
149,2.298139429,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1033 Ack=2840 Win=1261 Len=0 TSval=197278159 TSecr=3782617774
150,2.300187822,10.11.12.22,3.11.193.37,SSL,208,Continuation Data
151,2.302871160,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1033 Ack=2982 Win=1261 Len=0 TSval=197278159 TSecr=3782617781
152,2.303279772,10.11.12.22,1.1.1.1,TCP,60,38898 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
153,2.304848071,10.11.12.22,3.11.193.37,SSL,243,Continuation Data
154,2.308104761,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1033 Ack=3159 Win=1261 Len=0 TSval=197278160 TSecr=3782617785
155,2.312792992,10.11.12.22,3.11.193.37,SSL,210,Continuation Data
156,2.315486200,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1033 Ack=3303 Win=1261 Len=0 TSval=197278161 TSecr=3782617793
157,2.317129629,10.11.12.22,3.11.193.37,SSL,240,Continuation Data
158,2.320379987,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1033 Ack=3477 Win=1261 Len=0 TSval=197278161 TSecr=3782617797
159,2.322430898,10.11.12.22,3.11.193.37,SSL,219,Continuation Data
160,2.324514253,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1033 Ack=3630 Win=1261 Len=0 TSval=197278161 TSecr=3782617801
161,2.325241569,10.11.12.42,64.233.167.188,TCP,66,44845 → 443 [ACK] Seq=1 Ack=1 Win=533 Len=0 TSval=3695120 TSecr=197273658
162,2.327126961,64.233.167.188,10.11.12.42,TCP,66,[TCP ACKed unseen segment] 443 → 44845 [ACK] Seq=1 Ack=2 Win=130 Len=0 TSval=197278162 TSecr=3686110
163,2.329298558,50.7.252.138,10.11.12.22,UDP,79,9993 → 42232 Len=37
164,2.365151935,3.11.193.37,10.11.12.22,SSL,1049,Continuation Data
165,2.371842873,10.11.12.16,192.168.0.64,TCP,66,46634 → 80 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=531173510 TSecr=197277666
166,2.394284301,10.11.12.51,10.11.12.1,TCP,74,43376 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1031992440 TSecr=0 WS=128
167,2.394451005,10.11.12.1,10.11.12.51,TCP,74,80 → 43376 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2993698528 TSecr=1031992440 WS=128
168,2.395939155,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
169,2.396238397,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
170,2.396475823,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
171,2.398121733,10.11.12.51,10.11.12.1,TCP,66,43376 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1031992443 TSecr=2993698528
172,2.398256530,10.11.12.51,10.11.12.1,HTTP,990,GET /5/1666184691.2871532/%7B%22NoiseL%22:%2059.441120296998534,%20%22NoiseM%22:%2030.741634172399046,%20%22NoiseH%22:%2013.43993170750045,%20%22NoiseA%22:%2017.27044769614967,%20%22Lux%22:%20194.8409,%20%22Prox%22:%200,%20%22Temp%22:%2025.981059855308292,%20%22Humidity%22:%2022.736284188381106,%20%22Pressure%22:%201010.5513317969354,%20%22MassPM1.0%22:%20%222.0826148986816406%22,%20%22MassPM2.5%22:%20%224.55599308013916%22,%20%22MassPM4.0%22:%20%226.470392227172852%22,%20%22MassPM10%22:%20%227.430722236633301%22,%20%22NumPM0.5%22:%20%227.57308292388916%22,%20%22NumPM1.0%22:%20%2213.689301490783691%22,%20%22NumPM2.5%22:%20%2216.09745216369629%22,%20%22NumPM4.0%22:%20%2216.611055374145508%22,%20%22NumPM10%22:%20%2216.734485626220703%22,%20%22TPM%22:%20%220.9549999833106995%22%7D HTTP/1.1 
173,2.398323178,10.11.12.1,10.11.12.51,TCP,66,80 → 43376 [ACK] Seq=1 Ack=925 Win=64256 Len=0 TSval=2993698532 TSecr=1031992443
174,2.400183496,10.11.12.22,3.11.193.37,SSL,1444,Continuation Data
175,2.403682521,10.11.12.1,10.11.12.51,TCP,83,HTTP/1.0 200 OK  [TCP segment of a reassembled PDU]
176,2.404079966,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=2016 Ack=5012 Win=1261 Len=0 TSval=197278169 TSecr=3782617876
177,2.404160207,10.11.12.1,10.11.12.51,HTTP,209,HTTP/1.0 200 OK  (text/html)
178,2.404547967,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=2016 Ack=6394 Win=1261 Len=0 TSval=197278169 TSecr=3782617876
179,2.404669004,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=2016 Ack=7758 Win=1261 Len=0 TSval=197278169 TSecr=3782617876
180,2.404804634,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=2016 Ack=9136 Win=1261 Len=0 TSval=197278169 TSecr=3782617880
181,2.406652322,192.168.0.64,10.11.12.16,TCP,66,80 → 46634 [ACK] Seq=1 Ack=2 Win=122 Len=0 TSval=197278170 TSecr=531173510
182,2.406879563,10.11.12.51,10.11.12.1,TCP,66,43376 → 80 [ACK] Seq=925 Ack=18 Win=64256 Len=0 TSval=1031992453 TSecr=2993698537
183,2.409967680,10.11.12.51,10.11.12.1,TCP,66,43376 → 80 [FIN, ACK] Seq=925 Ack=162 Win=64128 Len=0 TSval=1031992457 TSecr=2993698538
184,2.410048532,10.11.12.1,10.11.12.51,TCP,66,80 → 43376 [ACK] Seq=162 Ack=926 Win=64256 Len=0 TSval=2993698544 TSecr=1031992457
185,2.448279488,3.11.193.37,10.11.12.22,SSL,1086,Continuation Data
186,2.452741440,10.11.12.50,10.11.12.1,TCP,74,55718 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=216536560 TSecr=0 WS=128
187,2.452874033,10.11.12.1,10.11.12.50,TCP,74,80 → 55718 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1712182080 TSecr=216536560 WS=128
188,2.454184350,10.11.12.50,10.11.12.1,TCP,66,55718 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=216536562 TSecr=1712182080
189,2.454510980,10.11.12.50,10.11.12.1,HTTP,988,GET /4/1666184691.3724182/%7B%22NoiseL%22:%2051.03054453324242,%20%22NoiseM%22:%2044.7070854182166,%20%22NoiseH%22:%2073.15016067767154,%20%22NoiseA%22:%2028.147965104855093,%20%22Lux%22:%2015.10405,%20%22Prox%22:%200,%20%22Temp%22:%2019.762967163276656,%20%22Humidity%22:%2027.991171765605348,%20%22Pressure%22:%201010.4236783718935,%20%22MassPM1.0%22:%20%222.0826148986816406%22,%20%22MassPM2.5%22:%20%224.55599308013916%22,%20%22MassPM4.0%22:%20%226.470392227172852%22,%20%22MassPM10%22:%20%227.430722236633301%22,%20%22NumPM0.5%22:%20%227.57308292388916%22,%20%22NumPM1.0%22:%20%2213.689301490783691%22,%20%22NumPM2.5%22:%20%2216.09745216369629%22,%20%22NumPM4.0%22:%20%2216.611055374145508%22,%20%22NumPM10%22:%20%2216.734485626220703%22,%20%22TPM%22:%20%220.9549999833106995%22%7D HTTP/1.1 
190,2.454569554,10.11.12.1,10.11.12.50,TCP,66,80 → 55718 [ACK] Seq=1 Ack=923 Win=64256 Len=0 TSval=1712182082 TSecr=216536562
191,2.459670785,10.11.12.1,10.11.12.50,TCP,83,HTTP/1.0 200 OK  [TCP segment of a reassembled PDU]
192,2.460128045,10.11.12.1,10.11.12.50,HTTP,209,HTTP/1.0 200 OK  (text/html)
193,2.460979454,10.11.12.50,10.11.12.1,TCP,66,55718 → 80 [ACK] Seq=923 Ack=18 Win=64256 Len=0 TSval=216536568 TSecr=1712182087
194,2.462779179,10.11.12.50,10.11.12.1,TCP,66,55718 → 80 [FIN, ACK] Seq=923 Ack=162 Win=64128 Len=0 TSval=216536570 TSecr=1712182088
195,2.462854106,10.11.12.1,10.11.12.50,TCP,66,80 → 55718 [ACK] Seq=162 Ack=924 Win=64256 Len=0 TSval=1712182090 TSecr=216536570
196,2.472302437,10.11.12.22,3.11.193.37,SSL,482,Continuation Data
197,2.474168885,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=3036 Ack=9552 Win=1263 Len=0 TSval=197278176 TSecr=3782617953
198,2.477439131,3.11.193.37,10.11.12.22,SSL,98,Continuation Data
199,2.479710246,3.11.193.37,10.11.12.22,SSL,773,Continuation Data
200,2.481281897,10.11.12.22,3.11.193.37,TCP,66,48190 → 443 [ACK] Seq=9552 Ack=3775 Win=791 Len=0 TSval=3782617962 TSecr=197278177
201,2.487913075,10.11.12.22,3.11.193.37,SSL,339,Continuation Data
202,2.490408339,3.11.193.37,10.11.12.22,SSL,1103,Continuation Data
203,2.509001260,10.11.12.22,3.11.193.37,SSL,480,Continuation Data
204,2.511494987,3.11.193.37,10.11.12.22,SSL,178,Continuation Data
205,2.518390554,10.11.12.22,3.11.193.37,SSL,353,Continuation Data
206,2.526469717,40.99.201.226,10.11.12.18,TLSv1.2,94,Application Data
207,2.533853489,10.11.12.18,40.99.201.226,TCP,60,12810 → 443 [ACK] Seq=1 Ack=81 Win=1024 Len=0
208,2.551890724,10.11.12.31,52.58.249.45,TLSv1.2,235,Application Data
209,2.555308285,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=4924 Ack=10526 Win=1266 Len=0 TSval=197278185 TSecr=3782617998
210,2.556101602,10.11.12.20,10.0.128.132,TCP,74,[TCP Retransmission] 47712 → 8123 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3227894794 TSecr=0 WS=256
211,2.556244157,10.11.12.20,10.0.128.132,TCP,74,[TCP Retransmission] 47714 → 8123 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3227894795 TSecr=0 WS=256
212,2.577129101,52.58.249.45,10.11.12.31,TLSv1.2,123,Application Data
213,2.650515896,18.196.142.136,10.11.12.22,TLSv1.2,495,Application Data
214,2.652214492,10.11.12.22,18.196.142.136,TCP,66,33683 → 8883 [ACK] Seq=1 Ack=430 Win=4801 Len=0 TSval=4133412163 TSecr=2022772699
215,2.656665314,10.11.12.19,10.11.12.1,TCP,74,46790 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3634707325 TSecr=0 WS=128
216,2.656798740,10.11.12.1,10.11.12.19,TCP,74,80 → 46790 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=46107566 TSecr=3634707325 WS=128
217,2.657990520,10.11.12.19,10.11.12.1,TCP,66,46790 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3634707326 TSecr=46107566
218,2.658563577,10.11.12.19,10.11.12.1,HTTP,972,GET /3/1666184691.5989382/%7B%22NoiseL%22:%2051.725522280261146,%20%22NoiseM%22:%2018.772271677296203,%20%22NoiseH%22:%208.67523039341069,%20%22NoiseA%22:%2013.195504058494672,%20%22Lux%22:%206.30745,%20%22Prox%22:%200,%20%22Temp%22:%2026.746908808157258,%20%22Humidity%22:%2022.190063458477816,%20%22Pressure%22:%201009.5039499376181,%20%22MassPM1.0%22:%20%221.0485678911209106%22,%20%22MassPM2.5%22:%20%223.9711759090423584%22,%20%22MassPM4.0%22:%20%226.299286365509033%22,%20%22MassPM10%22:%20%227.467148780822754%22,%20%22NumPM0.5%22:%20%220.0%22,%20%22NumPM1.0%22:%20%224.827813148498535%22,%20%22NumPM2.5%22:%20%227.731733798980713%22,%20%22NumPM4.0%22:%20%228.3531494140625%22,%20%22NumPM10%22:%20%228.50070571899414%22,%20%22TPM%22:%20%221.6299999952316284%22%7D HTTP/1.1 
219,2.658643299,10.11.12.1,10.11.12.19,TCP,66,80 → 46790 [ACK] Seq=1 Ack=907 Win=64256 Len=0 TSval=46107568 TSecr=3634707326
220,2.662502250,10.11.12.22,3.11.193.37,SSL,182,Continuation Data
221,2.663395307,10.11.12.1,10.11.12.19,TCP,83,HTTP/1.0 200 OK  [TCP segment of a reassembled PDU]
222,2.663871160,10.11.12.1,10.11.12.19,HTTP,209,HTTP/1.0 200 OK  (text/html)
223,2.665028162,10.11.12.19,10.11.12.1,TCP,66,46790 → 80 [ACK] Seq=907 Ack=18 Win=64256 Len=0 TSval=3634707333 TSecr=46107573
224,2.665628256,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=4924 Ack=10642 Win=1266 Len=0 TSval=197278195 TSecr=3782618143
225,2.667268944,10.11.12.19,10.11.12.1,TCP,66,46790 → 80 [FIN, ACK] Seq=907 Ack=162 Win=64128 Len=0 TSval=3634707335 TSecr=46107573
226,2.667347036,10.11.12.1,10.11.12.19,TCP,66,80 → 46790 [ACK] Seq=162 Ack=908 Win=64256 Len=0 TSval=46107577 TSecr=3634707335
227,2.676865886,10.11.12.22,1.0.0.1,TCP,60,37916 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
228,2.700250594,10.11.12.22,1.1.1.1,TCP,74,35974 → 853 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3425252625 TSecr=0 WS=128
229,2.704751120,10.11.12.18,10.11.12.255,UDP,186,61219 → 51007 Len=144
230,2.709535610,1.1.1.1,10.11.12.22,TCP,66,853 → 35974 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1394 SACK_PERM=1 WS=8192
231,2.710694390,3.11.193.37,10.11.12.22,SSL,1107,Continuation Data
232,2.710964816,10.11.12.22,1.1.1.1,TCP,60,35974 → 853 [ACK] Seq=1 Ack=1 Win=64256 Len=0
233,2.712331967,10.11.12.22,1.1.1.1,TLSv1,334,Client Hello
234,2.722044225,1.1.1.1,10.11.12.22,TCP,54,853 → 35974 [ACK] Seq=1 Ack=281 Win=65536 Len=0
235,2.723590616,3.11.193.37,10.11.12.22,SSL,1095,Continuation Data
236,2.724980896,10.11.12.22,3.11.193.37,TCP,66,48190 → 443 [ACK] Seq=10642 Ack=6994 Win=840 Len=0 TSval=3782618205 TSecr=197278200
237,2.735543285,10.11.12.22,3.11.193.37,SSL,457,Continuation Data
238,2.738310568,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=6994 Ack=11033 Win=1266 Len=0 TSval=197278203 TSecr=3782618216
239,2.740467497,3.11.193.37,10.11.12.22,SSL,98,Continuation Data
240,2.742770483,3.11.193.37,10.11.12.22,SSL,770,Continuation Data
241,2.746921379,10.11.12.22,3.11.193.37,TCP,66,48190 → 443 [ACK] Seq=11033 Ack=7730 Win=856 Len=0 TSval=3782618226 TSecr=197278203
242,2.754535115,3.11.193.37,10.11.12.22,SSL,98,Continuation Data
243,2.756797396,3.11.193.37,10.11.12.22,SSL,773,Continuation Data
244,2.757785417,10.11.12.1,10.11.12.18,SSH,98,Server: Encrypted packet (len=44)
245,2.759008715,3.11.193.37,10.11.12.22,SSL,1107,Continuation Data
246,2.759958180,10.11.12.31,255.255.255.255,UDP,214,49153 → 6667 Len=172
247,2.760956626,10.11.12.22,3.11.193.37,TCP,66,48190 → 443 [ACK] Seq=11033 Ack=9510 Win=889 Len=0 TSval=3782618241 TSecr=197278204
248,2.768231842,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
249,2.768515620,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
250,2.768755825,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
251,2.772311238,10.11.12.22,3.11.193.37,SSL,339,Continuation Data
252,2.773477499,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=9510 Ack=13797 Win=1266 Len=0 TSval=197278206 TSecr=3782618248
253,2.774800483,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=9510 Ack=15434 Win=1266 Len=0 TSval=197278206 TSecr=3782618248
254,2.775088558,3.11.193.37,10.11.12.22,SSL,98,Continuation Data
255,2.776342671,3.11.193.37,10.11.12.22,SSL,773,Continuation Data
256,2.777073080,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
257,2.777332562,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
258,2.777570155,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
259,2.779099898,3.11.193.37,10.11.12.22,SSL,98,Continuation Data
260,2.780860809,3.11.193.37,10.11.12.22,SSL,773,Continuation Data
261,2.781105735,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=10988 Ack=18198 Win=1266 Len=0 TSval=197278207 TSecr=3782618257
262,2.781271458,10.11.12.22,3.11.193.37,TCP,66,48190 → 443 [ACK] Seq=19562 Ack=10281 Win=905 Len=0 TSval=3782618262 TSecr=197278207
263,2.783510795,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
264,2.784735352,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
265,2.784891760,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
266,2.786983782,10.11.12.31,52.58.249.45,TCP,60,40589 → 8886 [ACK] Seq=182 Ack=70 Win=2506 Len=0
267,2.787111745,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=10988 Ack=20944 Win=1266 Len=0 TSval=197278208 TSecr=3782618257
268,2.788188618,10.11.12.22,3.11.193.37,SSL,339,Continuation Data
269,2.790320418,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=10988 Ack=23690 Win=1261 Len=0 TSval=197278208 TSecr=3782618263
270,2.793821053,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
271,2.794121424,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
272,2.794459555,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
273,2.797774060,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=10988 Ack=25345 Win=1261 Len=0 TSval=197278209 TSecr=3782618268
274,2.798030320,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=10988 Ack=28091 Win=1261 Len=0 TSval=197278209 TSecr=3782618274
275,2.798205172,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
276,2.798526228,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
277,2.798771581,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
278,2.800921714,3.11.193.37,10.11.12.22,SSL,178,Continuation Data
279,2.801929271,10.11.12.22,3.11.193.37,SSL,339,Continuation Data
280,2.802120494,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=11100 Ack=30855 Win=1266 Len=0 TSval=197278209 TSecr=3782618278
281,2.805322759,3.11.193.37,10.11.12.22,SSL,1110,Continuation Data
282,2.805571944,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=12144 Ack=32492 Win=1266 Len=0 TSval=197278209 TSecr=3782618278
283,2.807099354,10.11.12.22,3.11.193.37,SSL,457,Continuation Data
284,2.810626361,3.11.193.37,10.11.12.22,SSL,178,Continuation Data
285,2.811813252,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
286,2.812031604,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
287,2.812319345,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
288,2.812460771,3.11.193.37,10.11.12.22,TCP,1107,443 → 48190 [PSH, ACK] Seq=12256 Ack=32883 Win=1266 Len=1041 TSval=197278210 TSecr=3782618287
289,2.813801551,10.11.12.22,3.11.193.37,TCP,66,48190 → 443 [ACK] Seq=37011 Ack=13297 Win=954 Len=0 TSval=3782618294 TSecr=197278210
290,2.814868164,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=13297 Ack=35647 Win=1261 Len=0 TSval=197278211 TSecr=3782618291
291,2.815285980,10.11.12.18,10.11.12.1,TCP,60,32566 → 22 [ACK] Seq=1 Ack=221 Win=511 Len=0
292,2.815286202,10.11.12.22,1.0.0.1,TCP,60,56770 → 853 [ACK] Seq=1 Ack=1 Win=502 Len=0
293,2.820258081,3.11.193.37,10.11.12.22,SSL,178,Continuation Data
294,2.821429842,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
295,2.821709713,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
296,2.821938473,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
297,2.825871758,3.11.193.37,10.11.12.22,SSL,1108,Continuation Data
298,2.826091295,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=14451 Ack=39775 Win=1261 Len=0 TSval=197278212 TSecr=3782618301
299,2.827395482,10.11.12.22,3.11.193.37,SSL,339,Continuation Data
300,2.830948655,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=14451 Ack=41412 Win=1261 Len=0 TSval=197278212 TSecr=3782618301
301,2.839605763,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
302,2.839821208,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
303,2.840137671,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
304,2.843195010,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=14451 Ack=44176 Win=1261 Len=0 TSval=197278213 TSecr=3782618319
305,2.846601127,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
306,2.846891683,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
307,2.847109646,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
308,2.849294410,3.11.193.37,10.11.12.22,SSL,178,Continuation Data
309,2.850475319,3.11.193.37,10.11.12.22,SSL,1119,Continuation Data
310,2.850551690,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=48304 Win=1261 Len=0 TSval=197278214 TSecr=3782618327
311,2.852159118,10.11.12.22,3.11.193.37,TCP,66,48190 → 443 [ACK] Seq=49668 Ack=15616 Win=987 Len=0 TSval=3782618332 TSecr=197278214
312,2.863968713,10.11.12.22,3.11.193.37,SSL,353,Continuation Data
313,2.866706921,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=49955 Win=1261 Len=0 TSval=197278216 TSecr=3782618327
314,2.875614659,10.11.12.16,192.168.0.64,TCP,74,46644 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=531174011 TSecr=0 WS=128
315,2.878281368,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
316,2.878410275,192.168.0.64,10.11.12.16,TCP,74,80 → 46644 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1394 SACK_PERM=1 TSval=197278217 TSecr=531174011 WS=128
317,2.878642368,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
318,2.878840461,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
319,2.879871185,10.11.12.16,192.168.0.64,TCP,66,46644 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=531174018 TSecr=197278217
320,2.880675779,10.11.12.16,192.168.0.64,HTTP,309,GET /api/invalid/lights HTTP/1.1 
321,2.882803246,10.11.12.22,3.11.193.37,SSL,407,Continuation Data
322,2.883816414,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=52719 Win=1261 Len=0 TSval=197278217 TSecr=3782618358
323,2.885417880,192.168.0.64,10.11.12.16,TCP,66,80 → 46644 [ACK] Seq=1 Ack=244 Win=15616 Len=0 TSval=197278217 TSecr=531174019
324,2.885618177,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=54424 Win=1261 Len=0 TSval=197278217 TSecr=3782618358
325,2.889671554,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
326,2.889949406,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
327,2.890177740,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
328,2.891218520,10.11.12.22,1.0.0.1,TCP,60,[TCP Retransmission] 37916 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
329,2.893976025,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=57188 Win=1261 Len=0 TSval=197278218 TSecr=3782618370
330,2.895119286,10.11.12.22,3.11.193.37,SSL,353,Continuation Data
331,2.898161365,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=58839 Win=1261 Len=0 TSval=197278219 TSecr=3782618370
332,2.900979703,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
333,2.901254037,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
334,2.901483075,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
335,2.904461635,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=61603 Win=1261 Len=0 TSval=197278219 TSecr=3782618381
336,2.905257711,10.11.12.22,3.11.193.37,SSL,166,Continuation Data
337,2.908076401,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=63067 Win=1261 Len=0 TSval=197278220 TSecr=3782618381
338,2.910764202,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
339,2.911061443,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
340,2.911324129,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
341,2.911324388,10.11.12.22,1.1.1.1,TCP,60,[TCP Retransmission] 58098 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
342,2.914993524,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=65831 Win=1261 Len=0 TSval=197278220 TSecr=3782618391
343,2.916267471,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
344,2.916508008,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
345,2.916802750,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
346,2.920158515,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=68577 Win=1261 Len=0 TSval=197278221 TSecr=3782618391
347,2.920389200,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=71323 Win=1261 Len=0 TSval=197278221 TSecr=3782618396
348,2.921685610,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
349,2.921928110,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
350,2.922189963,10.11.12.22,3.11.193.37,SSL,1430,Continuation Data
351,2.925472376,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=74087 Win=1261 Len=0 TSval=197278222 TSecr=3782618401
352,2.926774767,10.11.12.22,3.11.193.37,SSL,353,Continuation Data
353,2.929748124,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=15616 Ack=75738 Win=1261 Len=0 TSval=197278222 TSecr=3782618401
354,2.932557833,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
355,2.932846481,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
356,2.932953389,10.11.12.22,3.11.193.37,SSL,225,Continuation Data
